Name,Description of Question,Link to STACK question,Link to STACK question,Review status,Feedback Section
Arithmetic Mean Calculation for a Given Dataset,This question asks students to calculate the arithmetic mean of a given dataset. The answer should be submitted rounded to two decimal places.,https://ecampus.idems.international/question/bank/history/history.php?entryid=86734&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86734&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Approved
Calculating the conditional probability of independent events,"This question involves calculating the probability of receiving a specific symbol in a noisy channel. The channel transmits two symbols, 0 and 1, with given probabilities, and there is a chance of distortion during transmission. The student is asked to determine the probability of receiving a 1, regardless of which symbol was originally transmitted.",https://ecampus.idems.international/question/bank/history/history.php?entryid=86825&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86825&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
Calculating the probability mass function for different values of a discrete random variable,"Provided with a table of values for defectives in different lots, find the probability mass function for the different values of the discrete random variable",https://ecampus.idems.international/question/bank/history/history.php?entryid=86822&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86822&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
Estimating standard deviation of data presented as a dotplot,"Given a data in dotplot representation, need to estimate its standard deviation",https://ecampus.idems.international/question/bank/history/history.php?entryid=86770&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86770&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Approved
Estimating standard deviation of data presented as a dotplot,"Given a data in dotplot representation, need to estimate its standard deviation",https://ecampus.idems.international/question/bank/history/history.php?entryid=84149&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11507%252C82046%26qpage%3D0%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=84149&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11507%252C82046%26qpage%3D0%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
Estimating the mean and median of data presented as a dotplot,"Given a data in dotplot representation, need to estimate its mean and median",https://ecampus.idems.international/question/bank/history/history.php?entryid=86756&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046%26qpage%3D0%26qperpage%3D1000&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86756&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11692%252C82046%26qpage%3D0%26qperpage%3D1000&courseid=248,,Ready for review
Fill ANOVA Table for a 2-year tomato data,"Given a description and specifications of a statistical experiment related to tomatoes and an incomplete ANOVA table, fill in the missing values, including degrees of freedom, mean square and F value figures.",https://ecampus.idems.international/question/bank/history/history.php?entryid=84151&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11507%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=84151&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11507%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Approved
Fill ANOVA table for a millet experiment,"Given a description and specifications of a statistical experiment related to millet and an incomplete ANOVA table, fill in the missing values, including degrees of freedom, mean square and F value figures. We are provided with all the factors and number of plots to use to determine the degrees of freedom.",https://ecampus.idems.international/question/bank/history/history.php?entryid=84150&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11507%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=84150&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11507%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Approved
"Fill in table with frequency, precentage and pie chart angle values","Using the values provided for frequency and percent, fill in the missing values for frequency, percentages and angle values they would take in a pie chart.",https://ecampus.idems.international/question/bank/history/history.php?entryid=86733&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86733&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
Find the conditional probabilities for mutually exclusive events,"Given the probabilities for hitting a target on first, second and both tries, find their conditional probabilities.",https://ecampus.idems.international/question/bank/history/history.php?entryid=86812&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86812&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
Find the probability of picking a card from a deck,"Find the probability of picking a card from a deck, with number less than that indicated to two decimal places.",https://ecampus.idems.international/question/bank/history/history.php?entryid=86732&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86732&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
Finding a conditional probability of the product of 2 dice throws,Find the probability of a particular product of two dice throws given the value of one die outcome.,https://ecampus.idems.international/question/bank/history/history.php?entryid=84122&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=84122&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248&courseid=248,,Ready for review
Finding expected value dependent on interactions,"Given a table showing mean yield of tomatoes for combinations of heat and light, need to calculate the expected value depending on interaction between light and heat",https://ecampus.idems.international/question/bank/history/history.php?entryid=84158&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11519%252C82046%26qpage%3D0%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=84158&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11519%252C82046%26qpage%3D0%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
"Finding probability of an event, the intersection of the two and their complements","Given probability values for an event, the intersection and compliments of the two, use the formulae for compliments and intersection to solve the questions.",https://ecampus.idems.international/question/bank/history/history.php?entryid=84123&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=84123&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
Finding the conditional probability of picking a card from a deck,"Given that a certain color of card is picked from a deck, find the probability that it will also be a certain number.",https://ecampus.idems.international/question/bank/history/history.php?entryid=86816&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86816&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
"Finding the conditional probability of two events, their complements and union","Given the probability of two events and their intersection, find the conditional probabilities and their complements, and probability of union",https://ecampus.idems.international/question/bank/history/history.php?entryid=86817&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86817&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
Finding the probability for joint events,"For a married couple, given the probaility of retirement for each gender, find the probability for both, none and one being retired.",https://ecampus.idems.international/question/bank/history/history.php?entryid=86821&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86821&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
Finding the probability of intersection and union of two events and their complements,"Givenn the probabilities of two events and their intersection, find the probabilities of their union and complements.",https://ecampus.idems.international/question/bank/history/history.php?entryid=86815&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86815&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
Finding the total number of different combinations to form a group,"Given a work group of men and women, perfom combinatorics to form a smaller group given different conditions",https://ecampus.idems.international/question/bank/history/history.php?entryid=84978&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=84978&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
Giving a conclusion about the shape of the distribution of a stacked dotplot,"Given a stacked dotplot representing weights of apples in grams, need to give a conclusion about the shape of the distribution",https://ecampus.idems.international/question/bank/history/history.php?entryid=84155&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11518%252C82046%26qpage%3D0%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=84155&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11518%252C82046%26qpage%3D0%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Approved
Identify differences in two data sets presented as dotplots,"Given a dot plot representing the hieght of maize of different varieties, need to describe their differences",https://ecampus.idems.international/question/bank/history/history.php?entryid=84147&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11507%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=84147&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11507%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Approved
Interpret and match dotplots to respective boxplots,"Given stacked dotplots and boxplots for different distributions,need to identify which box plot matches with each dot plot",https://ecampus.idems.international/question/bank/history/history.php?entryid=84154&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11507%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=84154&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11507%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Approved
Interpret the text and use the information to calculate conditional probabilities,"Given information in a paragraph, interpret it and find conditional probabilities for different events.",https://ecampus.idems.international/question/bank/history/history.php?entryid=86826&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86826&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
Interpret the text and use the information to calculate conditional probabilities,,https://ecampus.idems.international/question/bank/history/history.php?entryid=86820&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86820&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
Interpret the text and use the information to calculate conditional probabilities,,https://ecampus.idems.international/question/bank/history/history.php?entryid=86814&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86814&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
Interpret the text and use the information to calculate conditional probabilities,,https://ecampus.idems.international/question/bank/history/history.php?entryid=86813&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86813&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
Interpreting a two-way frequency table,"Given the frequency values for the forecast and actual occurence of rain, identify how the values relate.",https://ecampus.idems.international/question/bank/history/history.php?entryid=84159&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11507%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=84159&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11507%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
Interpreting two-way tables with frequencies given as row and column percentages,"Given two frequency tables, one with row percentages values and another with column percentages values relating to forecast and actual occurence of rain, identify how the values relate.",https://ecampus.idems.international/question/bank/history/history.php?entryid=84163&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11507%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=84163&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11507%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
Selecting which statements are true or false about statistical inferences,"Given 3 statements about statistical inference, need to make a selection whether they are true, false or not sure.",https://ecampus.idems.international/question/bank/history/history.php?entryid=84164&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11520%252C82046%26qpage%3D0%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=84164&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11520%252C82046%26qpage%3D0%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Approved
"Calculate the conditional probability of two events, their complements and intersection","Given the probabilities for two events and a conditional probability of occurence, calculate the other conditional probaility and probability of intersection with complements.",https://ecampus.idems.international/question/bank/history/history.php?entryid=86818&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86818&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
Calculating the combined mean and standard deviation for two datasets presented as dotplots,"Given two datasets in dotplot representation, need to calculate their combined mean and standard deviation",https://ecampus.idems.international/question/bank/history/history.php?entryid=86761&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86761&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,In progress
Estimating the combined mean and standard deviation for a datasets and a missing value presented as dotplots,"Given data in dotplot representation, need to estimate the combined mean and standard deviation if the missing value is considered",https://ecampus.idems.international/question/bank/history/history.php?entryid=86769&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=86769&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,In progress
Writing an expression for a conditional probability,"Given conditional probability, need to write an expression of picking a number from a deck of cards",https://ecampus.idems.international/question/bank/history/history.php?entryid=85789&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=85789&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
Edit boxplot to match histogram distribution,"Given a histogram, move the quartile and median lines of the boxplot to match it.",https://ecampus.idems.international/question/bank/history/history.php?entryid=87186&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26qbs1%3Dqbank_viewquestiontype%255Cquestion_type_column%26qbs2%3Dqbank_viewquestionname%255Cquestion_name_idnumber_tags_column-name&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=87186&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26qbs1%3Dqbank_viewquestiontype%255Cquestion_type_column%26qbs2%3Dqbank_viewquestionname%255Cquestion_name_idnumber_tags_column-name&courseid=248,,Approved
Place the estimated value of mean and median in stacked dotplot,"Given a stacked dotplot representing precipitation values, move the median and mean lines to estimate the values for mean and median.",https://ecampus.idems.international/question/bank/history/history.php?entryid=87185&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26qbs1%3Dqbank_viewquestiontype%255Cquestion_type_column%26qbs2%3Dqbank_viewquestionname%255Cquestion_name_idnumber_tags_column-name&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=87185&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26qbs1%3Dqbank_viewquestiontype%255Cquestion_type_column%26qbs2%3Dqbank_viewquestionname%255Cquestion_name_idnumber_tags_column-name&courseid=248,,Ready for review
Place the estimated value of mode in stacked dotplot,"Given a stacked dotplot representing precipitation values, move the mode line to estimate the value for mode.",https://ecampus.idems.international/question/bank/history/history.php?entryid=92288&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=92288&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046%26recurse%3D1%26showhidden%3D0%26qbshowtext%3D0&courseid=248,,Ready for review
Download external data and perform analysis to answer the questions,"Download data with Njoro river discharge and use it to calculate mean discharge, mean annual runoff, and perceentage runoff ratio",https://ecampus.idems.international/question/bank/history/history.php?entryid=87272&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=87272&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248,,Ready for review
Climate Data,Data is generated for sunshine hours to compare satellite and station values for a station. Download the data and perform analysis to calculate mean errors for each month,https://ecampus.idems.international/question/bank/history/history.php?entryid=87273&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=87273&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248&courseid=248,,Ready for review
Identify differences in two datasets downloaded as a csv file,"Download data with heights of maize for two varieties, in your software of choice, have a visual representation and interpret it to answer the questions.",https://ecampus.idems.international/question/bank/history/history.php?entryid=87538&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248&courseid=248,https://ecampus.idems.international/question/bank/history/history.php?entryid=87538&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248&courseid=248,,Changes requested
Classification of variables,"Given a brief description of data and how it was recorded, classify which falls under discrete, continuous, numerical and categorical.","https://ecampus.idems.international/question/bank/history/history.php?entryid=85794&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248
https://ecampus.idems.international/question/bank/history/history.php?courseid=248&entryid=86749&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&category=11508%2C82046&lastchanged=96517","https://ecampus.idems.international/question/bank/history/history.php?entryid=85794&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&courseid=248
 https://ecampus.idems.international/question/bank/history/history.php?courseid=248&entryid=86749&returnurl=%2Fquestion%2Fedit.php%3Fcourseid%3D248%26cat%3D11508%252C82046&category=11508%2C82046&lastchanged=96517",,Changes requested
